Sr_No,Hospital_Name,State,District,Pincode,Ambulance_Phone_No,State_ID,District_ID
100,M.M Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
101,M/S Sapthagiri Eye Care Centre,Andhra Pradesh,Chittoor,517501,112,28,554
102,Manohari Nursing Home,Andhra Pradesh,Chittoor,517501,112,28,554
103,Meghana Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
104,Mother Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
105,Navya Netralaya Eye Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
106,Neelima Maternity Nursing Home,Andhra Pradesh,Chittoor,517501,112,28,554
107,Nirmala Hospitals,Andhra Pradesh,Chittoor,517501,112,28,554
108,Om Children Surgical Superspeciality Centre,Andhra Pradesh,Chittoor,517501,112,28,554
109,Prameela Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
110,Prashanth Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
111,Purna's Remedy Hospital - Tirupathi,Andhra Pradesh,Chittoor,517501,112,28,554
112,Raghavendra Urological Super Speciality Hospital (Russh Hospital),Andhra Pradesh,Chittoor,517501,112,28,554
113,Rama Nursing Home,Andhra Pradesh,Chittoor,517501,112,28,554
114,Ramadevi Multi Super Speciality Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
115,Ramya Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
116,Ravi Neuro and Emergency Hospital - Chittoor,Andhra Pradesh,Chittoor,517501,112,28,554
117,Sakthi Medicals,Andhra Pradesh,Chittoor,517501,112,28,554
118,Shyamala Nursing Home,Andhra Pradesh,Chittoor,517501,112,28,554
119,Sree Emergency and Crticial Care Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
120,Sri Chakra Hospitals,Andhra Pradesh,Chittoor,517501,112,28,554
121,Sri Padmavathi Multi Speciality Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
122,Sri Ramadevi Multi Super Speciality Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
123,Sri Sai Ortho Care,Andhra Pradesh,Chittoor,517501,112,28,554
124,Sri Sai Sudha Hospitals,Andhra Pradesh,Chittoor,517501,112,28,554
125,Sri Suraksha Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
126,Sri Venkata Sai Hrudayalaya (The Heart Care Centre) - Tirupati,Andhra Pradesh,Chittoor,517501,112,28,554
127,Sri Venkateshwara Institute Of Medical Sciences,Andhra Pradesh,Chittoor,517501,112,28,554
128,Sri Venkateswara Hospitals,Andhra Pradesh,Chittoor,517501,112,28,554
129,Sri Vignesh Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
130,Srinivasa Super Speciality Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
131,Suguna Nursing Home,Andhra Pradesh,Chittoor,517501,112,28,554
132,Sviss Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
133,Swaranamrutha Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
134,Swarnamrutha Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
135,Swetha Childrens Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
136,Triveni Child Care Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
137,Vaishnavi Children Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
138,Vasan Healthcare Pvt Ltd,Andhra Pradesh,Chittoor,517501,112,28,554
139,Venkataramana Heart And Maternity Hospital,Andhra Pradesh,Chittoor,517501,112,28,554
140,Vision Care Clinic,Andhra Pradesh,Chittoor,517501,112,28,554
141,Elite Hospital,Andhra Pradesh,Chittoor,517502,112,28,554
142,Maha Hospitals,Andhra Pradesh,Chittoor,517502,112,28,554
143,Vennela Super Speciality Eye and Dental Hospital,Andhra Pradesh,Chittoor,517502,112,28,554
144,Radha Narayan Hospital For Women And Children,Andhra Pradesh,Chittoor,517505,112,28,554
145,Manasa Kidney Foundation,Andhra Pradesh,Chittoor,517507,112,28,554
146,Rushh Hospital,Andhra Pradesh,Chittoor,517507,112,28,554
147,S V Poly Clinic,Andhra Pradesh,Chittoor,517507,112,28,554
148,Sneha Super Speciality Hospital,Andhra Pradesh,Chittoor,517507,112,28,554
149,Swarna E.N.T Super Speciality Hosptial,Andhra Pradesh,Chittoor,517507,112,28,554
150,Swarnamurtha Hospital,Andhra Pradesh,Chittoor,517507,112,28,554
151,Sri Sai Nursing Home,Andhra Pradesh,Chittoor,517583,112,28,554
152,C.S.I. Hospital,Andhra Pradesh,Chittoor,517590,112,28,554
153,Annapurna Hospital ( Ramarao Hospital),Andhra Pradesh,Chittoor,517644,112,28,554
154,Chaitanya Childrens Hospital,Andhra Pradesh,Chittoor,517644,112,28,554
155,Eswari Nursing Home,Andhra Pradesh,Chittoor,517644,112,28,554
156,Sai Kanthi Eye Hospital,Andhra Pradesh,Chittoor,517644,112,28,554
157,Vani Priya Hospital,Andhra Pradesh,Chittoor,517644,112,28,554
158,Abhishek Kidney and General Hospital ( Kcm Hospital),Andhra Pradesh,Y.S.R.,516001,112,28,644
159,Ashwini Childrens Hospital,Andhra Pradesh,Y.S.R.,516001,112,28,644
160,Balaji Nursing Home,Andhra Pradesh,Y.S.R.,516001,112,28,644
161,Bharathi Hospital,Andhra Pradesh,Y.S.R.,516001,112,28,644
162,G. S. R. Heart Care Centre - Cuddapah,Andhra Pradesh,Y.S.R.,516001,112,28,644
163,Jyothi Nursing Home,Andhra Pradesh,Y.S.R.,516001,112,28,644
164,K.C.M. Hospital,Andhra Pradesh,Y.S.R.,516001,112,28,644
165,Likhith Laparoscopic Centre,Andhra Pradesh,Y.S.R.,516001,112,28,644
166,Palla Krishnaiah Memorial And Nursing Home,Andhra Pradesh,Y.S.R.,516001,112,28,644
167,Pasupuleti Nursing Home,Andhra Pradesh,Y.S.R.,516001,112,28,644
168,Priyatham Clinic,Andhra Pradesh,Y.S.R.,516001,112,28,644
169,Sita Lakshmi Nursing Home,Andhra Pradesh,Y.S.R.,516001,112,28,644
170,Siva Yogi Childrens Hospital,Andhra Pradesh,Y.S.R.,516001,112,28,644
171,Sri Krishna Sahithi Eye Hospital,Andhra Pradesh,Y.S.R.,516001,112,28,644
172,Srija Rainbow Childrens Hospital,Andhra Pradesh,Y.S.R.,516001,112,28,644
173,Srinivasa Nursing Home,Andhra Pradesh,Y.S.R.,516001,112,28,644
174,Tata Reddy Ramalinga Reddy Nursing Home,Andhra Pradesh,Y.S.R.,516001,112,28,644
175,Thulasamma Hospital,Andhra Pradesh,Y.S.R.,516001,112,28,644
176,Tirumala Hospitals,Andhra Pradesh,Y.S.R.,516001,112,28,644
177,Vijaya Nursing Home,Andhra Pradesh,Y.S.R.,516001,112,28,644
178,Vurimi Savitramma Cardiac Centre,Andhra Pradesh,Y.S.R.,516001,112,28,644
179,Deepa Nursing Home,Andhra Pradesh,Y.S.R.,516002,112,28,644
180,Dr G R K R Multi Speciality Hospitals,Andhra Pradesh,Y.S.R.,516002,112,28,644
181,Jyothi Nursing Home,Andhra Pradesh,Y.S.R.,516002,112,28,644
182,Remedy Hospital,Andhra Pradesh,Y.S.R.,516002,112,28,644
183,Sri Satya Sai Hospital,Andhra Pradesh,Y.S.R.,516002,112,28,644
184,Himalaya Multi Speciality Hospital,Andhra Pradesh,Y.S.R.,516004,112,28,644
185,Usha Rani Nursing Home,Andhra Pradesh,Y.S.R.,516004,112,28,644
186,Vishnu Nursing Home,Andhra Pradesh,Y.S.R.,516101,112,28,644
187,Sree Durgaa Nursing Home,Andhra Pradesh,Y.S.R.,516115,112,28,644
188,Sri Sai Nursing Home,Andhra Pradesh,Y.S.R.,516115,112,28,644
189,Our Lady Of Fatima Hospital,Andhra Pradesh,Y.S.R.,516193,112,28,644
190,Madhavi Nursing Home,Andhra Pradesh,Y.S.R.,516269,112,28,644
191,Raviteja Nursing Home,Andhra Pradesh,Y.S.R.,516269,112,28,644
192,Abhilash Netra Vidyasala,Andhra Pradesh,Y.S.R.,516360,112,28,644
193,B. G. R. Hospital,Andhra Pradesh,Y.S.R.,516360,112,28,644
194,Bhavya Nursing Home,Andhra Pradesh,Y.S.R.,516360,112,28,644
195,Cnr Nursing Home,Andhra Pradesh,Y.S.R.,516360,112,28,644
196,Dr. S. V. R. Hospital,Andhra Pradesh,Y.S.R.,516360,112,28,644
197,Jaya Vishnu Nursing Home,Andhra Pradesh,Y.S.R.,516360,112,28,644
198,Kalyana Chakravarthy Hospitals - Proddatur,Andhra Pradesh,Y.S.R.,516360,112,28,644
199,Kathya Nursing Home,Andhra Pradesh,Y.S.R.,516360,112,28,644
200,Lakshmi Kishore Hospital,Andhra Pradesh,Y.S.R.,516360,112,28,644
201,Latha Mutispeciality Hospital - Proddatur,Andhra Pradesh,Y.S.R.,516360,112,28,644
202,Orthopaedic And Maternity Hospital,Andhra Pradesh,Y.S.R.,516360,112,28,644
203,Prasad Nursing Home,Andhra Pradesh,Y.S.R.,516360,112,28,644
204,Shree Veja Nursing Home,Andhra Pradesh,Y.S.R.,516360,112,28,644
205,Siva Nursing Home,Andhra Pradesh,Y.S.R.,516360,112,28,644
206,Sree Veja Nursing Home,Andhra Pradesh,Y.S.R.,516360,112,28,644
207,Sri Sai Hospitals,Andhra Pradesh,Y.S.R.,516360,112,28,644
208,Sri Swarna Hospital,Andhra Pradesh,Y.S.R.,516360,112,28,644
209,Swarup Eye Hospital and Laser Center,Andhra Pradesh,Y.S.R.,516360,112,28,644
210,Vaatsalya Hospital,Andhra Pradesh,Y.S.R.,516360,112,28,644
211,Vijaya Eye Hospital,Andhra Pradesh,Y.S.R.,516360,112,28,644
212,Dinesh Medical Centre,Andhra Pradesh,Y.S.R.,516390,112,28,644
213,Nikhil Nursing Home,Andhra Pradesh,Y.S.R.,516434,112,28,644
214,Sree Tati Reddy Ramalinga Reddy Nursing Home,Andhra Pradesh,Y.S.R.,516434,112,28,644
215,Sri Thati Reddy Ramalinga Reddy Nursing Home,Andhra Pradesh,Y.S.R.,516434,112,28,644
216,Venkata Sai Baradwaja Hospital,Andhra Pradesh,Y.S.R.,516434,112,28,644
217,7 Star Superspeciality Hospital,Andhra Pradesh,East Godavari,533001,112,28,545
218,Apollo Samudra Hospitals,Andhra Pradesh,East Godavari,533001,112,28,545
219,Bharani Hospital,Andhra Pradesh,East Godavari,533001,112,28,545
220,Care Emergency Hospital,Andhra Pradesh,East Godavari,533001,112,28,545
221,Christian Cancer Center,Andhra Pradesh,East Godavari,533001,112,28,545
222,D V Raju Eye Hospital,Andhra Pradesh,East Godavari,533001,112,28,545
223,Haritha Hospitals,Andhra Pradesh,East Godavari,533001,112,28,545
224,Kakinada Nursing Home,Andhra Pradesh,East Godavari,533001,112,28,545
225,Life Line Emergency Hospital,Andhra Pradesh,East Godavari,533001,112,28,545
226,Raghava 24 Hrs Emergency Hospital,Andhra Pradesh,East Godavari,533001,112,28,545
227,Rajeswari Medicals,Andhra Pradesh,East Godavari,533001,112,28,545
228,Ramya Hospitals,Andhra Pradesh,East Godavari,533001,112,28,545
229,Sai Sudha Hospital,Andhra Pradesh,East Godavari,533001,112,28,545
230,Sapthagiri Hospitals,Andhra Pradesh,East Godavari,533001,112,28,545
231,Shravani Ent Hospital,Andhra Pradesh,East Godavari,533001,112,28,545
232,Siddhartha Hospital,Andhra Pradesh,East Godavari,533001,112,28,545
233,Sree Bala Nursing Home Sree Bala Ent Care Centre,Andhra Pradesh,East Godavari,533001,112,28,545
234,Sri Gowthami Nursing Home,Andhra Pradesh,East Godavari,533001,112,28,545
235,Sri Lalitha Hospitals Institute Of Lap Surgery And Training,Andhra Pradesh,East Godavari,533001,112,28,545
236,Sri Srinivasa Orthopaedic Centre and Nursing Home,Andhra Pradesh,East Godavari,533001,112,28,545
237,Srihitha Children Hospital,Andhra Pradesh,East Godavari,533001,112,28,545
238,Vijaya Lakshmi Nursing Home,Andhra Pradesh,East Godavari,533001,112,28,545
239,Vijaya Nursing Home,Andhra Pradesh,East Godavari,533001,112,28,545
240,Vishwanadha Eye and Maternity Hospital,Andhra Pradesh,East Godavari,533001,112,28,545
241,Bhanu Nursing Home and Eye Hospital,Andhra Pradesh,East Godavari,533003,112,28,545
242,Lifeline Emergency and Neuro Centre,Andhra Pradesh,East Godavari,533003,112,28,545
243,Mother and Child Hospital,Andhra Pradesh,East Godavari,533003,112,28,545
244,Nayana Eye Care,Andhra Pradesh,East Godavari,533003,112,28,545
245,Ramalingeswara Nursing Home,Andhra Pradesh,East Godavari,533003,112,28,545
246,Safe Emergency Hospital,Andhra Pradesh,East Godavari,533003,112,28,545
247,Saipriya Maternity Hospital,Andhra Pradesh,East Godavari,533003,112,28,545
248,Srujana Multi Speciality Hospital,Andhra Pradesh,East Godavari,533003,112,28,545
249,Kasturi Nursing Home,Andhra Pradesh,East Godavari,533004,112,28,545
250,Poly Clinic and Hospital,Andhra Pradesh,East Godavari,533004,112,28,545
251,Ravichandra Hospital,Andhra Pradesh,East Godavari,533004,112,28,545
252,Sanjivi Orthopaedic Hospital,Andhra Pradesh,East Godavari,533004,112,28,545
253,Sri Sai Raghavendra Super Specialities Hospital,Andhra Pradesh,East Godavari,533004,112,28,545
254,Sri Venkata Chalapathi Nursing Home,Andhra Pradesh,East Godavari,533004,112,28,545
255,Sri Venkateswara Medicare and Research Centre,Andhra Pradesh,East Godavari,533004,112,28,545
256,Sri Venugopal Hospital,Andhra Pradesh,East Godavari,533004,112,28,545
257,Sudha Urology And Andrology Hospital,Andhra Pradesh,East Godavari,533004,112,28,545
258,Surya Global Hospitals,Andhra Pradesh,East Godavari,533004,112,28,545
259,Vasan Eye Care Hospital,Andhra Pradesh,East Godavari,533004,112,28,545
260,Sarvottam Healthcare Private Limited,Andhra Pradesh,East Godavari,533005,112,28,545
261,Srikiran Institute Of Ophthalmology,Andhra Pradesh,East Godavari,533005,112,28,545
262,Surya Global Multispeciality and Cancer Reesearch Center,Andhra Pradesh,East Godavari,533005,112,28,545
263,Sushrutha Hospital,Andhra Pradesh,East Godavari,533005,112,28,545
264,Trust Hospital(A Unit Of Sarvottam Health Care),Andhra Pradesh,East Godavari,533005,112,28,545
265,Sri Srinivasa Nursing Home,Andhra Pradesh,East Godavari,533006,112,28,545
266,Abhay Nursing Home,Andhra Pradesh,East Godavari,533101,112,28,545
267,Aravindam Ortho and Physio Centre,Andhra Pradesh,East Godavari,533101,112,28,545
268,Aruna Hospital and Poly Clinic,Andhra Pradesh,East Godavari,533101,112,28,545
269,Bhaskara Raju Children Hospital,Andhra Pradesh,East Godavari,533101,112,28,545
270,Life Emergency Hospital Private Limited,Andhra Pradesh,East Godavari,533101,112,28,545
271,S A I Orthopaedics Trauma and General Hospital,Andhra Pradesh,East Godavari,533101,112,28,545
272,Siddhartha Orthopedic Hospital and Poly Clinic,Andhra Pradesh,East Godavari,533101,112,28,545
273,Sri Satya Nursing Home,Andhra Pradesh,East Godavari,533101,112,28,545
274,Sri Srinivasa Hospitals,Andhra Pradesh,East Godavari,533101,112,28,545
275,Sri Venkateswara Hospitals,Andhra Pradesh,East Godavari,533101,112,28,545
276,Abhaya Emergency Centre,Andhra Pradesh,East Godavari,533103,112,28,545
277,Adarsh Hospital,Andhra Pradesh,East Godavari,533103,112,28,545
278,Alert Emergency Hospital,Andhra Pradesh,East Godavari,533103,112,28,545
279,Ammanna Memorial Murtys Neuro Super Speciality Ho,Andhra Pradesh,East Godavari,533103,112,28,545
280,Apex Hospital - Rajamundry,Andhra Pradesh,East Godavari,533103,112,28,545
281,Aruna Hospital and Polyclinic,Andhra Pradesh,East Godavari,533103,112,28,545
282,Bharadwaja Heart and Maternity Centre,Andhra Pradesh,East Godavari,533103,112,28,545
283,Bhavani Nursing Home,Andhra Pradesh,East Godavari,533103,112,28,545
284,Bollineni Heart Centre Pvt Ltd,Andhra Pradesh,East Godavari,533103,112,28,545
285,Buddudu Orthopeadic Hospital,Andhra Pradesh,East Godavari,533103,112,28,545
286,Chakradhar Hospitals,Andhra Pradesh,East Godavari,533103,112,28,545
287,Coastal Cardiac And Maternity Centre,Andhra Pradesh,East Godavari,533103,112,28,545
288,Geetha Mullapudi Sperspeciality Dental Hospital,Andhra Pradesh,East Godavari,533103,112,28,545
289,Gowthami Nursing Home,Andhra Pradesh,East Godavari,533103,112,28,545
290,Harsha Hospitals,Andhra Pradesh,East Godavari,533103,112,28,545
291,Kamalakar Hospital,Andhra Pradesh,East Godavari,533103,112,28,545
292,Krishna Nursing Home,Andhra Pradesh,East Godavari,533103,112,28,545
293,Madhavi Nursing Home,Andhra Pradesh,East Godavari,533103,112,28,545
294,Neela Jear Hospital,Andhra Pradesh,East Godavari,533103,112,28,545
295,Nest Hospital,Andhra Pradesh,East Godavari,533103,112,28,545
296,Netra Eye Care,Andhra Pradesh,East Godavari,533103,112,28,545
297,Paramahansa Yogananda Netralaya,Andhra Pradesh,East Godavari,533103,112,28,545
298,Pragati Super Speciality Hospital,Andhra Pradesh,East Godavari,533103,112,28,545
299,Prasanthi Nursing Home,Andhra Pradesh,East Godavari,533103,112,28,545
300,Raja Neuro And Multi Speciality Hospital Pvt Ltd,Andhra Pradesh,East Godavari,533103,112,28,545
301,Rajahmundry Orthopedic Hospital,Andhra Pradesh,East Godavari,533103,112,28,545
302,Ratna Orthopaedic Center,Andhra Pradesh,East Godavari,533103,112,28,545
303,Sanjana Orthopaedic Hospital,Andhra Pradesh,East Godavari,533103,112,28,545
304,Soujanya Hospital,Andhra Pradesh,East Godavari,533103,112,28,545
305,Sreya Medical Speciality Centre,Andhra Pradesh,East Godavari,533103,112,28,545
306,Sri Aditya Hospital,Andhra Pradesh,East Godavari,533103,112,28,545
307,Sri Mani Orthopaedic Hospital,Andhra Pradesh,East Godavari,533103,112,28,545
308,Sri Ramadas Hospitals,Andhra Pradesh,East Godavari,533103,112,28,545
309,"Sri Suguna Children,S Hospital",Andhra Pradesh,East Godavari,533103,112,28,545
310,Supraja Hospitals,Andhra Pradesh,East Godavari,533103,112,28,545
311,Surya Hospital,Andhra Pradesh,East Godavari,533103,112,28,545
312,Swetha Hospitals - Rajahmundry,Andhra Pradesh,East Godavari,533103,112,28,545
313,V.B. Chest Institute,Andhra Pradesh,East Godavari,533103,112,28,545
314,Vasan Eye Care Hospital,Andhra Pradesh,East Godavari,533103,112,28,545
315,Vijaya Hospital,Andhra Pradesh,East Godavari,533103,112,28,545
316,Akira Eye Hospital,Andhra Pradesh,East Godavari,533104,112,28,545
317,Dr A V R Ananda Rao Memorial Eye Clinic,Andhra Pradesh,East Godavari,533104,112,28,545
318,Dr Chainulus Hospitaland Anusha Critical Carecenter,Andhra Pradesh,East Godavari,533104,112,28,545
319,Gangina Hospitals,Andhra Pradesh,East Godavari,533104,112,28,545
320,Kranti Nursing Home,Andhra Pradesh,East Godavari,533104,112,28,545
321,Royal Hospital,Andhra Pradesh,East Godavari,533104,112,28,545
322,Siddhartha Orthopaedic Hospital and Polyclinic,Andhra Pradesh,East Godavari,533104,112,28,545
323,Sree Latha Hospital,Andhra Pradesh,East Godavari,533104,112,28,545
324,Sri Ram Nursing Home,Andhra Pradesh,East Godavari,533104,112,28,545
325,Sri Srinivasa Orthopaedic Hospital,Andhra Pradesh,East Godavari,533104,112,28,545
326,Chaitanya Nursing Home,Andhra Pradesh,East Godavari,533105,112,28,545
327,Goutami Eye Institute,Andhra Pradesh,East Godavari,533105,112,28,545
328,Life Spring Hospital,Andhra Pradesh,East Godavari,533105,112,28,545
329,Sai Hospitals,Andhra Pradesh,East Godavari,533105,112,28,545
